"X1.501","Company.Names","Company.Names2","Min.Value","Max.Value","Change","Perc.Change"
1,"Agilent Technologies","Agilent Technologies",25.55,28.56,3.01,0.117808219178082
2,"Alcoa","Alcoa",12.56,10.57,-1.99,-0.15843949044586
3,"Apple","Apple",169.22,249.64,80.42,0.475239333412126
4,"AmerisourceBergen Corp","AmerisourceBergen Corp",21.05,28.92,7.87,0.373871733966746
5,"Abbott Laboratories","ACE Limited",45.39,53.51,8.12,0.178894029521921
6,NA,"",45.32,NA,NA,NA
7,"Adobe Systems","Adobe Systems",32.84,27.92,-4.92,-0.149817295980512
8,"Analog Devices","Analog Devices",28.42,29.62,1.2,0.0422237860661506
9,"Archer-Daniels-Midland","Archer-Daniels-Midland",28.67,30.52,1.85,0.0645273805371468
10,"Automatic Data Processing","Automatic Data Processing",39.07,39.4,0.329999999999998,0.00844637829536725
11,"Autodesk","Autodesk",24.51,28.11,3.6,0.1468788249694
12,"Ameren Corp","Ameren Corp",27.05,27.14,0.0899999999999999,0.0033271719038817
13,"American Electric Power","American Electric Power",31.49,34.82,3.33,0.105747856462369
14,"AES Corp","AES Corp",14.26,10.4,-3.86,-0.270687237026648
15,"Aetna","Aetna",29.62,27.11,-2.51,-0.0847400405131668
16,"AFLAC","AFLAC",41.87,46.63,4.76000000000001,0.113685216145212
17,"Allergan plc","Allergan plc",55.43,62.96,7.53,0.13584701425221
18,"American International Group","American International Group",32.85,35.17,2.32,0.0706240487062405
19,"Apartment Investment & Mgmt","Apartment Investment & Mgmt",11.95,19.71,7.76,0.649372384937239
20,"Assurant","Assurant",29.24,36.36,7.12,0.243502051983584
21,"Akamai Technologies","Akamai Technologies",18.42,47.86,29.44,1.59826275787188
22,NA,NA,20.87,13.46,-7.41,-0.355055103018687
23,"Allstate Corp","Allstate Corp",28.63,27.75,-0.879999999999999,-0.030736989172197
24,"Altera Corp","Altera Corp",19.48,25.6,6.12,0.314168377823409
25,"Applied Materials","Applied Materials",13.74,11.09,-2.65,-0.192867540029112
26,NA,NA,3.7,6.25,2.55,0.689189189189189
27,"Amgen","",60.64,NA,NA,NA
28,"Ameriprise Financial","Ameriprise Financial",29.82,43.13,13.31,0.44634473507713
29,"American Tower","American Tower",33.12,47.43,14.31,0.432065217391304
30,"Amazon.com","Amazon.com",85,127.76,42.76,0.503058823529412
31,"AutoNation","AutoNation",19.11,23.42,4.31,0.225536368393511
